"";"X.1";"b";"V1";"V2";"ganhador";"V1_n";"V2_n";"prev";"odds";"pais_1";"pais_2";"pais_comum"
"1";1;"https://www.vlr.gg/188329/dominatus-vs-le-crapaud-challengers-league-indonesia-split-2-r5";"Dominatus 55.32%  ";"Le Crapaud 44.68%  ";"0";55,32;44,68;"1";2,84;"Indonesia";"Indonesia";"Indonesia"
"2";2;"https://www.vlr.gg/193892/maru-gaming-vs-incheon-on-sla2ers-world-cyber-games-challengers-league-korea-split-2-w1";"Maru Gaming 49.99%  ";"Incheon On Sla2ers 50.01%  ";"0";49,99;50,01;"0";1,18;"South Korea";"South Korea";"South Korea"
"3";3;"https://www.vlr.gg/194331/lazy-vs-tim-t-i-tr-challengers-league-vietnam-split-2-d5";"LAZY 48.62%  ";"Tim Tài Trơ 51.38%  ";"0";48,62;51,38;"0";NA;"Vietnam";"Vietnam";"Vietnam"
"4";4;"https://www.vlr.gg/191765/funplus-phoenix-vs-totoro-gaming-fgc-valorant-invitational-2023-act-1-ur1";"FunPlus Phoenix 29.12%  ";"Totoro Gaming 70.88%  ";"1";29,12;70,88;"0";1,16;"China";"China";"China"
"5";5;"https://www.vlr.gg/193893/cnj-esports-vs-nongshim-redforce-world-cyber-games-challengers-league-korea-split-2-w1";"CNJ esports 70.47%  ";"Nongshim RedForce 29.53%  ";"0";70,47;29,53;"1";3,51;"South Korea";"South Korea";"South Korea"
"6";6;"https://www.vlr.gg/188330/dewa-united-esports-vs-bigetron-arctic-challengers-league-indonesia-split-2-r5";"Dewa United Esports 38.89%  ";"Bigetron Arctic 61.11%  ";"1";38,89;61,11;"0";3,99;"Indonesia";"Indonesia";"Indonesia"
"7";7;"https://www.vlr.gg/194332/team-lofi-vs-fancy-united-esports-challengers-league-vietnam-split-2-d5";"Team Lofi 23.7%  ";"Fancy United Esports 76.3%  ";"0";23,7;76,3;"0";NA;"Vietnam";"Vietnam";"Vietnam"
"8";8;"https://www.vlr.gg/191766/kone-esc-vs-dragon-ranger-gaming-fgc-valorant-invitational-2023-act-1-ur1";"KONE eSC 69.15%  ";"Dragon Ranger Gaming 30.85%  ";"1";69,15;30,85;"1";1,25;"China";"China";"China"
"9";9;"https://www.vlr.gg/195666/panda-vs-newhappy-esports-fgc-valorant-invitational-2023-act-2-qualifiers-play-in";"PanDa 81.86%  ";"NewHappy Esports 18.14%  ";"1";81,86;18,14;"1";NA;"China";"China";"China"
"10";10;"https://www.vlr.gg/192986/ramboot-club-vs-falcons-challengers-league-spain-rising-split-2-r4";"Ramboot Club 48.48%  ";"Falcons 51.52%  ";"1";48,48;51,52;"0";NA;"Spain";"Spain";"Spain"
"11";11;"https://www.vlr.gg/192983/aym-esports-vs-team-queso-challengers-league-spain-rising-split-2-r4";"AYM Esports 21.09%  ";"Team Queso 78.91%  ";"0";21,09;78,91;"0";1,36;"Spain";"Spain";"Spain"
"12";12;"https://www.vlr.gg/194122/joblife-vs-akroma-challengers-league-france-revolution-split-2-w1";"Joblife 46.59%  ";"Akroma 53.41%  ";"1";46,59;53,41;"0";1,32;"France";"France";"France"
"13";13;"https://www.vlr.gg/192982/kpi-gaming-vs-zeta-gaming-challengers-league-spain-rising-split-2-r4";"KPI Gaming 54.79%  ";"ZETA Gaming 45.21%  ";"0";54,79;45,21;"1";2,25;"Europe";"Spain";"N"
"14";14;"https://www.vlr.gg/194123/3dmax-vs-zerance-challengers-league-france-revolution-split-2-w1";"3DMAX 53.11%  ";"Zerance 46.89%  ";"0";53,11;46,89;"1";1,37;"France";"France";"France"
"15";15;"https://www.vlr.gg/192985/movistar-riders-vs-rebels-gaming-challengers-league-spain-rising-split-2-r4";"Movistar Riders 38.95%  ";"Rebels Gaming 61.05%  ";"1";38,95;61,05;"0";1,76;"Spain";"Spain";"Spain"
"16";16;"https://www.vlr.gg/194124/sbg-vs-blx-utd-challengers-league-france-revolution-split-2-w1";"SBG 78.91%  ";"BLX UTD 21.09%  ";"1";78,91;21,09;"1";1,13;"France";"Europe";"N"
"17";17;"https://www.vlr.gg/188562/who-cars-vs-fokus-challengers-league-northern-europe-polaris-split-2-r2";"who cars? 29.01%  ";"FOKUS 70.99%  ";"0";29,01;70,99;"0";1,31;"Denmark";"Europe";"N"
"18";18;"https://www.vlr.gg/192984/ucam-tokiers-vs-case-esports-challengers-league-spain-rising-split-2-r4";"UCAM Tokiers 61.5%  ";"Case Esports 38.5%  ";"1";61,5;38,5;"1";2;"Europe";"Europe";"Europe"
"19";19;"https://www.vlr.gg/194125/mandatory-vs-wylde-challengers-league-france-revolution-split-2-w1";"Mandatory 57.02%  ";"WYLDE 42.98%  ";"1";57,02;42,98;"1";1,39;"France";"Netherlands";"N"
"20";20;"https://www.vlr.gg/194126/valiant-vs-solary-challengers-league-france-revolution-split-2-w1";"VALIANT 52.14%  ";"Solary 47.86%  ";"0";52,14;47,86;"1";1,89;"France";"France";"France"
"21";21;"https://www.vlr.gg/183559/9z-team-gc-vs-optix-fem-game-changers-2023-latin-america-split-1-round-robin";"9z Team GC 55.32%  ";"Optix Fem 44.68%  ";"0";55,32;44,68;"1";1,55;"Argentina";"Chile";"N"
"22";22;"https://www.vlr.gg/193148/version1-vs-faze-clan-gc-game-changers-2023-series-i-north-america-main-event-ubqf";"Version1 82.55%  ";"FaZe Clan GC 17.45%  ";"1";82,55;17,45;"1";NA;"United States";"United States";"United States"
"23";23;"https://www.vlr.gg/193149/moist-moguls-red-vs-complexity-gx3-game-changers-2023-series-i-north-america-main-event-ubqf";"Moist Moguls RED 48.26%  ";"Complexity GX3 51.74%  ";"0";48,26;51,74;"0";NA;"United States";"United States";"United States"
"24";24;"https://www.vlr.gg/193150/shopify-rebellion-gc-vs-xset-game-changers-2023-series-i-north-america-main-event-ubqf";"Shopify Rebellion GC 33.54%  ";"XSET 66.46%  ";"1";33,54;66,46;"0";NA;"United States";"United States";"United States"
"25";25;"https://www.vlr.gg/193151/evil-geniuses-gc-vs-misfits-black-game-changers-2023-series-i-north-america-main-event-ubqf";"Evil Geniuses GC 67.6%  ";"Misfits Black 32.4%  ";"1";67,6;32,4;"1";1,06;"United States";"United States";"United States"
"26";26;"https://www.vlr.gg/195667/jijiehao-vs-trace-esports-fgc-valorant-invitational-2023-act-2-qualifiers-ro16";"JiJieHao 39.97%  ";"Trace Esports 60.03%  ";"1";39,97;60,03;"0";NA;"Hong Kong";"Taiwan";"N"
"27";27;"https://www.vlr.gg/195668/tyloo-vs-kunpeng-gaming-fgc-valorant-invitational-2023-act-2-qualifiers-ro16";"TYLOO 53.14%  ";"KunPeng Gaming 46.86%  ";"1";53,14;46,86;"1";NA;"China";"China";"China"
"28";28;"https://www.vlr.gg/188331/hike-digital-esports-vs-arf-team-challengers-league-indonesia-split-2-r6";"Hike Digital Esports 36.42%  ";"ARF TEAM 63.58%  ";"0";36,42;63,58;"0";1,46;"Indonesia";"Indonesia";"Indonesia"
"29";29;"https://www.vlr.gg/193894/dplus-esports-vs-slt-seongam-world-cyber-games-challengers-league-korea-split-2-w1";"Dplus Esports 74.52%  ";"SLT Seongam 25.48%  ";"0";74,52;25,48;"1";1,29;"South Korea";"South Korea";"South Korea"
"30";30;"https://www.vlr.gg/189031/mvp-esports-vs-rambutan-ni-tatay-challengers-league-philippines-split-2-regular-season-w3";"MVP Esports 20.45%  ";"Rambutan ni Tatay 79.55%  ";"1";20,45;79,55;"0";NA;"Philippines";"Philippines";"Philippines"
"31";31;"https://www.vlr.gg/194334/syko-vs-team-big-baam-challengers-league-vietnam-split-2-d6";"Syko 22.92%  ";"Team Big BAAM 77.08%  ";"0";22,92;77,08;"0";NA;"Vietnam";"Vietnam";"Vietnam"
